REPORT_DATE,CODE,ACTIVE_CNT,CASE_CNT,DEATH_CNT,TEST_CNT,MED_HOSP_CNT,MED_ICU_CNT,NAME,PREV_ACTIVE_CNT,PREV_CASE_CNT,PREV_DEATH_CNT,PREV_TEST_CNT,PREV_MED_HOSP_CNT,PREV_MED_ICU_CNT,NEW_CASE_CNT,PREV_NEW_CASE_CNT,LAST_UPDATED_DATE
2020-01-26,NT,,0.0,0.0,,,,NT,,,,,,,,,
2020-01-26,AUS,,4.0,0.0,,,0.0,Australia,,,,,,0.0,0.0,,
2020-01-26,NSW,,3.0,0.0,,,,NSW,,,,,,,,,
2020-01-26,VIC,,1.0,0.0,,,,Victoria,,,,,,,,,
2020-01-26,ACT,,0.0,0.0,,,,ACT,,,,,,,,,
2020-01-26,WA,,0.0,0.0,,,,WA,,,,,,,,,
2020-01-26,SA,,0.0,0.0,,,,SA,,,,,,,,,
2020-01-26,TAS,,0.0,0.0,,,,Tasmania,,,,,,,,,
2020-01-26,QLD,,0.0,0.0,,,,Queensland,,,,,,,,,
2020-01-27,TAS,,0.0,0.0,,,,Tasmania,,0.0,0.0,,,,,,
2020-01-27,WA,,0.0,0.0,,,,WA,,0.0,0.0,,,,,,
2020-01-27,NT,,0.0,0.0,,,,NT,,0.0,0.0,,,,,,
2020-01-27,ACT,,0.0,0.0,,,,ACT,,0.0,0.0,,,,,,
2020-01-27,SA,,0.0,0.0,,,,SA,,0.0,0.0,,,,,,
2020-01-27,NSW,,3.0,0.0,,,,NSW,,3.0,0.0,,,,,,
2020-01-27,VIC,,1.0,0.0,,,,Victoria,,1.0,0.0,,,,,,
2020-01-27,AUS,,4.0,0.0,,,0.0,Australia,,4.0,0.0,,,0.0,0.0,,
2020-01-27,QLD,,0.0,0.0,,,,Queensland,,0.0,0.0,,,,,,
2020-01-28,WA,,0.0,0.0,,,,WA,,0.0,0.0,,,,,,
2020-01-28,SA,,0.0,0.0,,,,SA,,0.0,0.0,,,,,,
2020-01-28,ACT,,0.0,0.0,,,,ACT,,0.0,0.0,,,,,,
2020-01-28,TAS,,0.0,0.0,,,,Tasmania,,0.0,0.0,,,,,,
2020-01-28,NT,,0.0,0.0,,,,NT,,0.0,0.0,,,,,,
2020-01-28,AUS,,5.0,0.0,,,0.0,Australia,,4.0,0.0,,,0.0,1.0,,
2020-01-28,NSW,,4.0,0.0,,,,NSW,,3.0,0.0,,,,,,
2020-01-28,VIC,,1.0,0.0,,,,Victoria,,1.0,0.0,,,,,,
2020-01-28,QLD,,0.0,0.0,,,,Queensland,,0.0,0.0,,,,,,
2020-01-29,WA,,0.0,0.0,,,,WA,,0.0,0.0,,,,,,
2020-01-29,TAS,,0.0,0.0,,,,Tasmania,,0.0,0.0,,,,,,
2020-01-29,ACT,,0.0,0.0,,,,ACT,,0.0,0.0,,,,,,
2020-01-29,SA,,0.0,0.0,,,,SA,,0.0,0.0,,,,,,
2020-01-29,NT,,0.0,0.0,,,,NT,,0.0,0.0,,,,,,
2020-01-29,VIC,,1.0,0.0,,,,Victoria,,1.0,0.0,,,,,,
2020-01-29,AUS,,5.0,0.0,,,0.0,Australia,,5.0,0.0,,,0.0,0.0,,
2020-01-29,NSW,,4.0,0.0,,,,NSW,,4.0,0.0,,,,,,
2020-01-29,QLD,,0.0,0.0,,,,Queensland,,0.0,0.0,,,,,,
2020-01-30,SA,,0.0,0.0,,,,SA,,0.0,0.0,,,,,,
2020-01-30,NT,,0.0,0.0,,,,NT,,0.0,0.0,,,,,,
2020-01-30,ACT,,0.0,0.0,,,,ACT,,0.0,0.0,,,,,,
2020-01-30,TAS,,0.0,0.0,,,,Tasmania,,0.0,0.0,,,,,,
2020-01-30,WA,,0.0,0.0,,,,WA,,0.0,0.0,,,,,,
2020-01-30,AUS,,9.0,0.0,,,0.0,Australia,,5.0,0.0,,,0.0,4.0,,
2020-01-30,VIC,,3.0,0.0,,,,Victoria,,1.0,0.0,,,,,,
2020-01-30,NSW,,4.0,0.0,,,,NSW,,4.0,0.0,,,,,,
2020-01-30,QLD,,2.0,0.0,,,,Queensland,,0.0,0.0,,,,,,
2020-01-31,WA,,0.0,0.0,,,,WA,,0.0,0.0,,,,,,
2020-01-31,ACT,,0.0,0.0,,,,ACT,,0.0,0.0,,,,,,
2020-01-31,TAS,,0.0,0.0,,,,Tasmania,,0.0,0.0,,,,,,
2020-01-31,SA,,0.0,0.0,,,,SA,,0.0,0.0,,,,,,
2020-01-31,NT,,0.0,0.0,,,,NT,,0.0,0.0,,,,,,
2020-01-31,VIC,,3.0,0.0,,,,Victoria,,3.0,0.0,,,,,,
2020-01-31,NSW,,4.0,0.0,,,,NSW,,4.0,0.0,,,,,,
2020-01-31,AUS,,9.0,0.0,,,0.0,Australia,,9.0,0.0,,,0.0,0.0,,
2020-01-31,QLD,,2.0,0.0,,,,Queensland,,2.0,0.0,,,,,,
2020-02-01,ACT,,0.0,0.0,,,,ACT,,0.0,0.0,,,,,,
2020-02-01,WA,,0.0,0.0,,,,WA,,0.0,0.0,,,,,,
2020-02-01,TAS,,0.0,0.0,,,,Tasmania,,0.0,0.0,,,,,,
2020-02-01,SA,,0.0,0.0,,,,SA,,0.0,0.0,,,,,,
2020-02-01,NT,,0.0,0.0,,,,NT,,0.0,0.0,,,,,,
2020-02-01,AUS,,9.0,0.0,,,0.0,Australia,,9.0,0.0,,,0.0,0.0,,
2020-02-01,VIC,,3.0,0.0,,,,Victoria,,3.0,0.0,,,,,,
2020-02-01,NSW,,4.0,0.0,,,,NSW,,4.0,0.0,,,,,,
2020-02-01,QLD,,2.0,0.0,,,,Queensland,,2.0,0.0,,,,,,
2020-02-02,NT,,0.0,0.0,,,,NT,,0.0,0.0,,,,,,
2020-02-02,AUS,,10.0,0.0,,,0.0,Australia,,9.0,0.0,,,0.0,1.0,,
2020-02-02,NSW,,4.0,0.0,,,,NSW,,4.0,0.0,,,,,,
2020-02-02,VIC,,4.0,0.0,,,,Victoria,,3.0,0.0,,,,,,
2020-02-02,QLD,,2.0,0.0,,,,Queensland,,2.0,0.0,,,,,,
2020-02-02,SA,,0.0,0.0,,,,SA,,0.0,0.0,,,,,,
2020-02-02,TAS,,0.0,0.0,,,,Tasmania,,0.0,0.0,,,,,,
2020-02-02,ACT,,0.0,0.0,,,,ACT,,0.0,0.0,,,,,,
2020-02-02,WA,,0.0,0.0,,,,WA,,0.0,0.0,,,,,,
2020-02-03,ACT,,0.0,0.0,,,,ACT,,0.0,0.0,,,,,,
2020-02-03,SA,,2.0,0.0,,,,SA,,0.0,0.0,,,,,,
2020-02-03,TAS,,0.0,0.0,,,,Tasmania,,0.0,0.0,,,,,,
2020-02-03,WA,,0.0,0.0,,,,WA,,0.0,0.0,,,,,,
2020-02-03,NT,,0.0,0.0,,,,NT,,0.0,0.0,,,,,,
2020-02-03,QLD,,2.0,0.0,,,,Queensland,,2.0,0.0,,,,,,
2020-02-03,NSW,,4.0,0.0,,,,NSW,,4.0,0.0,,,,,,
2020-02-03,AUS,,12.0,0.0,,,0.0,Australia,,10.0,0.0,,,0.0,2.0,,
2020-02-03,VIC,,4.0,0.0,,,,Victoria,,4.0,0.0,,,,,,
2020-02-04,NT,,0.0,0.0,,,,NT,,0.0,0.0,,,,,,
2020-02-04,VIC,,4.0,0.0,,,,Victoria,,4.0,0.0,,,,,,
2020-02-04,AUS,,12.0,0.0,,,0.0,Australia,,12.0,0.0,,,0.0,0.0,,
2020-02-04,NSW,,4.0,0.0,,,,NSW,,4.0,0.0,,,,,,
2020-02-04,QLD,,2.0,0.0,,,,Queensland,,2.0,0.0,,,,,,
2020-02-04,SA,,2.0,0.0,,,,SA,,2.0,0.0,,,,,,
2020-02-04,TAS,,0.0,0.0,,,,Tasmania,,0.0,0.0,,,,,,
