REPORT_DATE,CODE,ACTIVE_CNT,CASE_CNT,DEATH_CNT,TEST_CNT,MED_HOSP_CNT,MED_ICU_CNT,NAME,PREV_ACTIVE_CNT,PREV_CASE_CNT,PREV_DEATH_CNT,PREV_TEST_CNT,PREV_MED_HOSP_CNT,PREV_MED_ICU_CNT,NEW_CASE_CNT,PREV_NEW_CASE_CNT,LAST_UPDATED_DATE
2022-01-15,AUS,781963.0,1640385,2633,58533307.0,4512.0,383.0,Australia,770942.0,1536550.0,2578.0,58321885.0,4446.0,362.0,101232.0,,2022-01-15 16:40:05
2022-01-15,NSW,337510.0,738787,846,26677704.0,2485.0,192.0,NSW,336265.0,690123.0,826.0,26595123.0,2547.0,185.0,48768.0,63018.0,2022-01-15 11:10:10
2022-01-15,VIC,227105.0,590837,1681,18323879.0,1054.0,115.0,Victoria,239396.0,564020.0,1657.0,18263927.0,976.0,112.0,25526.0,34836.0,2022-01-15 16:40:05
2022-01-15,QLD,168012.0,197157,26,6028413.0,649.0,46.0,Queensland,145294.0,177454.0,20.0,5985728.0,589.0,41.0,19709.0,23630.0,2022-01-15 12:05:03
2022-01-15,NT,4067.0,6000,2,635433.0,36.0,0.0,NT,3620.0,5290.0,1.0,633457.0,37.0,1.0,412.0,546.0,2022-01-15 14:55:06
2022-01-15,SA,34725.0,67992,40,3405244.0,236.0,26.0,SA,34428.0,62511.0,36.0,3386689.0,246.0,20.0,4349.0,5679.0,2022-01-15 15:00:07
2022-01-15,TAS,7108.0,17145,13,498430.0,22.0,1.0,Tasmania,7439.0,15959.0,13.0,496259.0,24.0,0.0,1139.0,1201.0,
2022-01-15,ACT,3316.0,21174,16,809116.0,30.0,3.0,ACT,4382.0,19908.0,16.0,805614.0,27.0,3.0,1320.0,1125.0,2022-01-15 11:15:09
2022-01-15,WA,120.0,1293,9,2155088.0,0.0,0.0,WA,118.0,1285.0,9.0,2155088.0,0.0,0.0,9.0,9.0,
2022-01-16,VIC,237559.0,620571,1689,18382910.0,1114.0,122.0,Victoria,227105.0,590837.0,1681.0,18323879.0,1054.0,115.0,28128.0,25526.0,2022-01-16 19:45:03
