Jurisdiction,Active,Recovered,Deaths,Date,Active and Recovered
VIC,9.0,48.0,5,2021-10-06,57
NT,0.0,0.0,0,2021-10-06,0
NSW,18.0,13.0,2,2021-10-06,31
ACT,0.0,0.0,0,2021-10-06,0
Australia,26.0,73.0,11,2021-10-06,99
QLD,0.0,8.0,0,2021-10-06,8
SA,0.0,1.0,0,2021-10-06,1
TAS,0.0,3.0,2,2021-10-06,3
WA,0.0,0.0,1,2021-10-06,0
VIC,9.0,48.0,5,2021-10-07,57
Australia,26.0,73.0,11,2021-10-07,99
ACT,0.0,0.0,0,2021-10-07,0
WA,0.0,0.0,1,2021-10-07,0
NT,0.0,0.0,0,2021-10-07,0
QLD,0.0,8.0,0,2021-10-07,8
TAS,0.0,3.0,2,2021-10-07,3
SA,0.0,1.0,0,2021-10-07,1
NSW,18.0,13.0,2,2021-10-07,31
Australia,27.0,73.0,10,2021-10-08,100
ACT,0.0,0.0,0,2021-10-08,0
NSW,18.0,13.0,2,2021-10-08,31
NT,0.0,0.0,0,2021-10-08,0
VIC,9.0,48.0,5,2021-10-08,57
TAS,0.0,3.0,2,2021-10-08,3
QLD,0.0,8.0,0,2021-10-08,8
SA,0.0,1.0,0,2021-10-08,1
WA,0.0,0.0,1,2021-10-08,0
NSW,18.0,13.0,2,2021-10-09,31
NT,0.0,0.0,0,2021-10-09,0
QLD,0.0,8.0,0,2021-10-09,8
SA,0.0,1.0,0,2021-10-09,1
ACT,0.0,0.0,0,2021-10-09,0
VIC,9.0,48.0,5,2021-10-09,57
Australia,27.0,73.0,10,2021-10-09,100
WA,0.0,0.0,1,2021-10-09,0
TAS,0.0,3.0,2,2021-10-09,3
WA,0.0,0.0,1,2021-10-10,0
VIC,9.0,48.0,5,2021-10-10,57
TAS,0.0,3.0,2,2021-10-10,3
SA,0.0,1.0,0,2021-10-10,1
NT,0.0,0.0,0,2021-10-10,0
NSW,18.0,13.0,2,2021-10-10,31
Australia,27.0,73.0,10,2021-10-10,100
QLD,0.0,8.0,0,2021-10-10,8
ACT,0.0,0.0,0,2021-10-10,0
TAS,0.0,3.0,2,2021-10-11,3
WA,0.0,0.0,1,2021-10-11,0
VIC,9.0,48.0,5,2021-10-11,57
Australia,27.0,73.0,10,2021-10-11,100
SA,0.0,1.0,0,2021-10-11,1
NSW,18.0,13.0,2,2021-10-11,31
ACT,0.0,0.0,0,2021-10-11,0
NT,0.0,0.0,0,2021-10-11,0
QLD,0.0,8.0,0,2021-10-11,8
WA,0.0,0.0,1,2021-10-12,0
TAS,0.0,3.0,2,2021-10-12,3
SA,0.0,1.0,0,2021-10-12,1
QLD,0.0,8.0,0,2021-10-12,8
NT,0.0,0.0,0,2021-10-12,0
NSW,18.0,13.0,2,2021-10-12,31
ACT,0.0,0.0,0,2021-10-12,0
Australia,27.0,73.0,10,2021-10-12,100
VIC,9.0,48.0,5,2021-10-12,57
QLD,0.0,8.0,0,2021-10-13,8
NSW,18.0,13.0,2,2021-10-13,31
ACT,0.0,0.0,0,2021-10-13,0
SA,0.0,1.0,0,2021-10-13,1
TAS,0.0,3.0,2,2021-10-13,3
NT,0.0,0.0,0,2021-10-13,0
Australia,27.0,73.0,10,2021-10-13,100
WA,0.0,0.0,1,2021-10-13,0
VIC,9.0,48.0,5,2021-10-13,57
WA,0.0,0.0,1,2021-10-14,0
ACT,0.0,0.0,0,2021-10-14,0
QLD,0.0,8.0,0,2021-10-14,8
Australia,28.0,73.0,10,2021-10-14,101
SA,0.0,1.0,0,2021-10-14,1
TAS,0.0,3.0,2,2021-10-14,3
VIC,10.0,48.0,5,2021-10-14,58
NSW,18.0,13.0,2,2021-10-14,31
NT,0.0,0.0,0,2021-10-14,0
ACT,0.0,0.0,0,2021-10-15,0
SA,0.0,1.0,0,2021-10-15,1
WA,0.0,0.0,1,2021-10-15,0
VIC,10.0,48.0,5,2021-10-15,58
Australia,28.0,73.0,10,2021-10-15,101
NSW,18.0,13.0,2,2021-10-15,31
NT,0.0,0.0,0,2021-10-15,0
QLD,0.0,8.0,0,2021-10-15,8
TAS,0.0,3.0,2,2021-10-15,3
NT,0.0,0.0,0,2021-10-16,0
NSW,18.0,13.0,2,2021-10-16,31
ACT,0.0,0.0,0,2021-10-16,0
Australia,28.0,73.0,10,2021-10-16,101
VIC,10.0,48.0,5,2021-10-16,58
WA,0.0,0.0,1,2021-10-16,0
QLD,0.0,8.0,0,2021-10-16,8
TAS,0.0,3.0,2,2021-10-16,3
SA,0.0,1.0,0,2021-10-16,1
ACT,0.0,0.0,0,2021-10-17,0
NSW,18.0,13.0,2,2021-10-17,31
NT,0.0,0.0,0,2021-10-17,0
SA,0.0,1.0,0,2021-10-17,1
Australia,28.0,73.0,10,2021-10-17,101
TAS,0.0,3.0,2,2021-10-17,3
VIC,10.0,48.0,5,2021-10-17,58
WA,0.0,0.0,1,2021-10-17,0
QLD,0.0,8.0,0,2021-10-17,8
TAS,0.0,3.0,2,2021-10-18,3
VIC,12.0,48.0,5,2021-10-18,60
WA,0.0,0.0,1,2021-10-18,0
NT,0.0,0.0,0,2021-10-18,0
NSW,18.0,13.0,2,2021-10-18,31
ACT,0.0,0.0,0,2021-10-18,0
Australia,30.0,73.0,10,2021-10-18,103
QLD,0.0,8.0,0,2021-10-18,8
SA,0.0,1.0,0,2021-10-18,1
ACT,0.0,0.0,0,2021-10-19,0
NSW,18.0,13.0,2,2021-10-19,31
VIC,13.0,48.0,5,2021-10-19,61
Australia,31.0,73.0,10,2021-10-19,104
WA,0.0,0.0,1,2021-10-19,0
SA,0.0,1.0,0,2021-10-19,1
NT,0.0,0.0,0,2021-10-19,0
TAS,0.0,3.0,2,2021-10-19,3
QLD,0.0,8.0,0,2021-10-19,8
Australia,31.0,73.0,10,2021-10-20,104
ACT,0.0,0.0,0,2021-10-20,0
NSW,18.0,13.0,2,2021-10-20,31
QLD,0.0,8.0,0,2021-10-20,8
SA,0.0,1.0,0,2021-10-20,1
TAS,0.0,3.0,2,2021-10-20,3
VIC,13.0,48.0,5,2021-10-20,61
WA,0.0,0.0,1,2021-10-20,0
NT,0.0,0.0,0,2021-10-20,0
VIC,13.0,48.0,5,2021-10-21,61
TAS,0.0,3.0,2,2021-10-21,3
SA,0.0,1.0,0,2021-10-21,1
QLD,0.0,8.0,0,2021-10-21,8
NSW,18.0,13.0,2,2021-10-21,31
ACT,0.0,0.0,0,2021-10-21,0
Australia,32.0,73.0,10,2021-10-21,105
WA,0.0,0.0,1,2021-10-21,0
NT,0.0,0.0,0,2021-10-21,0
Australia,32.0,73.0,10,2021-10-22,105
ACT,0.0,0.0,0,2021-10-22,0
WA,0.0,0.0,1,2021-10-22,0
VIC,13.0,48.0,5,2021-10-22,61
TAS,0.0,3.0,2,2021-10-22,3
SA,0.0,1.0,0,2021-10-22,1
QLD,0.0,8.0,0,2021-10-22,8
NT,0.0,0.0,0,2021-10-22,0
NSW,18.0,13.0,2,2021-10-22,31
ACT,0.0,0.0,0,2021-10-23,0
VIC,15.0,48.0,5,2021-10-23,63
WA,0.0,0.0,1,2021-10-23,0
Australia,32.0,75.0,10,2021-10-23,107
TAS,0.0,3.0,2,2021-10-23,3
SA,0.0,1.0,0,2021-10-23,1
NSW,19.0,13.0,2,2021-10-23,32
QLD,0.0,8.0,0,2021-10-23,8
NT,0.0,0.0,0,2021-10-23,0
WA,0.0,0.0,1,2021-10-24,0
ACT,0.0,0.0,0,2021-10-24,0
TAS,0.0,3.0,2,2021-10-24,3
VIC,15.0,48.0,5,2021-10-24,63
QLD,0.0,8.0,0,2021-10-24,8
NT,0.0,0.0,0,2021-10-24,0
NSW,19.0,13.0,2,2021-10-24,32
Australia,32.0,75.0,10,2021-10-24,107
SA,0.0,1.0,0,2021-10-24,1
ACT,0.0,0.0,0,2021-10-25,0
NSW,17.0,15.0,2,2021-10-25,32
NT,0.0,0.0,0,2021-10-25,0
QLD,0.0,8.0,0,2021-10-25,8
SA,0.0,1.0,0,2021-10-25,1
TAS,0.0,3.0,2,2021-10-25,3
Australia,32.0,75.0,10,2021-10-25,107
WA,0.0,0.0,1,2021-10-25,0
VIC,15.0,48.0,5,2021-10-25,63
Australia,34.0,73.0,10,2021-10-26,107
ACT,0.0,0.0,0,2021-10-26,0
NSW,19.0,13.0,2,2021-10-26,32
NT,0.0,0.0,0,2021-10-26,0
QLD,0.0,8.0,0,2021-10-26,8
SA,0.0,1.0,0,2021-10-26,1
WA,0.0,0.0,1,2021-10-26,0
VIC,15.0,48.0,5,2021-10-26,63
TAS,0.0,3.0,2,2021-10-26,3
VIC,15.0,48.0,5,2021-10-27,63
WA,0.0,0.0,1,2021-10-27,0
NT,0.0,0.0,0,2021-10-27,0
TAS,0.0,3.0,2,2021-10-27,3
SA,0.0,1.0,0,2021-10-27,1
QLD,0.0,8.0,0,2021-10-27,8
NSW,17.0,15.0,2,2021-10-27,32
ACT,0.0,0.0,0,2021-10-27,0
Australia,32.0,75.0,10,2021-10-27,107
TAS,0.0,3.0,2,2021-10-28,3
WA,0.0,0.0,1,2021-10-28,0
VIC,15.0,48.0,5,2021-10-28,63
Australia,32.0,75.0,10,2021-10-28,107
QLD,0.0,8.0,0,2021-10-28,8
NT,0.0,0.0,0,2021-10-28,0
NSW,17.0,15.0,2,2021-10-28,32
ACT,0.0,0.0,0,2021-10-28,0
SA,0.0,1.0,0,2021-10-28,1
TAS,0.0,3.0,2,2021-10-29,3
WA,0.0,0.0,1,2021-10-29,0
VIC,15.0,48.0,5,2021-10-29,63
NSW,17.0,15.0,2,2021-10-29,32
NT,0.0,0.0,0,2021-10-29,0
QLD,0.0,8.0,0,2021-10-29,8
SA,0.0,1.0,0,2021-10-29,1
Australia,32.0,75.0,10,2021-10-29,107
ACT,0.0,0.0,0,2021-10-29,0
VIC,15.0,48.0,5,2021-10-30,63
SA,0.0,1.0,0,2021-10-30,1
QLD,0.0,8.0,0,2021-10-30,8
NT,0.0,0.0,0,2021-10-30,0
NSW,17.0,15.0,2,2021-10-30,32
ACT,0.0,0.0,0,2021-10-30,0
TAS,0.0,3.0,2,2021-10-30,3
WA,0.0,0.0,1,2021-10-30,0
Australia,32.0,75.0,10,2021-10-30,107
Australia,32.0,75.0,10,2021-10-31,107
ACT,0.0,0.0,0,2021-10-31,0
NT,0.0,0.0,0,2021-10-31,0
QLD,0.0,8.0,0,2021-10-31,8
SA,0.0,1.0,0,2021-10-31,1
TAS,0.0,3.0,2,2021-10-31,3
VIC,15.0,48.0,5,2021-10-31,63
WA,0.0,0.0,1,2021-10-31,0
NSW,17.0,15.0,2,2021-10-31,32
ACT,0.0,0.0,0,2021-11-01,0
Australia,32.0,75.0,10,2021-11-01,107
WA,0.0,0.0,1,2021-11-01,0
NSW,17.0,15.0,2,2021-11-01,32
TAS,0.0,3.0,2,2021-11-01,3
QLD,0.0,8.0,0,2021-11-01,8
SA,0.0,1.0,0,2021-11-01,1
VIC,15.0,48.0,5,2021-11-01,63
NT,0.0,0.0,0,2021-11-01,0
WA,0.0,0.0,1,2021-11-02,0
VIC,15.0,48.0,5,2021-11-02,63
TAS,0.0,3.0,2,2021-11-02,3
SA,0.0,1.0,0,2021-11-02,1
NT,0.0,0.0,0,2021-11-02,0
NSW,17.0,15.0,2,2021-11-02,32
ACT,0.0,0.0,0,2021-11-02,0
Australia,32.0,75.0,10,2021-11-02,107
QLD,0.0,8.0,0,2021-11-02,8
NT,0.0,0.0,0,2021-11-03,0
ACT,0.0,0.0,0,2021-11-03,0
NSW,17.0,15.0,2,2021-11-03,32
QLD,0.0,8.0,0,2021-11-03,8
Australia,32.0,75.0,10,2021-11-03,107
TAS,0.0,3.0,2,2021-11-03,3
VIC,15.0,48.0,5,2021-11-03,63
WA,0.0,0.0,1,2021-11-03,0
SA,0.0,1.0,0,2021-11-03,1
ACT,0.0,0.0,0,2021-11-04,0
NSW,17.0,15.0,2,2021-11-04,32
NT,0.0,0.0,0,2021-11-04,0
QLD,0.0,8.0,0,2021-11-04,8
SA,0.0,1.0,0,2021-11-04,1
TAS,0.0,3.0,2,2021-11-04,3
WA,0.0,0.0,1,2021-11-04,0
VIC,15.0,48.0,5,2021-11-04,63
Australia,32.0,75.0,10,2021-11-04,107
Australia,32.0,75.0,10,2021-11-05,107
ACT,0.0,0.0,0,2021-11-05,0
NSW,17.0,15.0,2,2021-11-05,32
NT,0.0,0.0,0,2021-11-05,0
QLD,0.0,8.0,0,2021-11-05,8
SA,0.0,1.0,0,2021-11-05,1
TAS,0.0,3.0,2,2021-11-05,3
VIC,15.0,48.0,5,2021-11-05,63
WA,0.0,0.0,1,2021-11-05,0
TAS,0.0,3.0,2,2021-11-06,3
VIC,15.0,48.0,5,2021-11-06,63
WA,0.0,0.0,1,2021-11-06,0
SA,0.0,1.0,0,2021-11-06,1
QLD,0.0,8.0,0,2021-11-06,8
NT,0.0,0.0,0,2021-11-06,0
