Jurisdiction,Active,Recovered,Deaths,Date,Active and Recovered
WA,0.0,0.0,0,2021-10-06,0
ACT,11.0,0.0,4,2021-10-06,11
NSW,286.0,69.0,65,2021-10-06,355
NT,0.0,0.0,0,2021-10-06,0
Australia,342.0,1405.0,735,2021-10-06,1747
SA,0.0,0.0,0,2021-10-06,0
TAS,0.0,0.0,1,2021-10-06,0
VIC,45.0,1336.0,664,2021-10-06,1381
QLD,0.0,0.0,1,2021-10-06,0
VIC,50.0,1336.0,666,2021-10-07,1386
Australia,342.0,1405.0,742,2021-10-07,1747
ACT,10.0,0.0,5,2021-10-07,10
NSW,282.0,69.0,69,2021-10-07,351
NT,0.0,0.0,0,2021-10-07,0
SA,0.0,0.0,0,2021-10-07,0
TAS,0.0,0.0,1,2021-10-07,0
WA,0.0,0.0,0,2021-10-07,0
QLD,0.0,0.0,1,2021-10-07,0
Australia,337.0,1417.0,744,2021-10-08,1754
QLD,0.0,0.0,1,2021-10-08,0
SA,0.0,0.0,0,2021-10-08,0
TAS,0.0,0.0,1,2021-10-08,0
VIC,52.0,1336.0,667,2021-10-08,1388
WA,0.0,0.0,0,2021-10-08,0
ACT,0.0,0.0,0,2021-10-08,0
NT,0.0,0.0,0,2021-10-08,0
NSW,275.0,81.0,70,2021-10-08,356
VIC,52.0,1336.0,667,2021-10-09,1388
Australia,337.0,1417.0,744,2021-10-09,1754
ACT,0.0,0.0,0,2021-10-09,0
NSW,275.0,81.0,70,2021-10-09,356
NT,0.0,0.0,0,2021-10-09,0
QLD,0.0,0.0,1,2021-10-09,0
SA,0.0,0.0,0,2021-10-09,0
WA,0.0,0.0,0,2021-10-09,0
TAS,0.0,0.0,1,2021-10-09,0
QLD,0.0,0.0,1,2021-10-10,0
VIC,52.0,1336.0,667,2021-10-10,1388
WA,0.0,0.0,0,2021-10-10,0
SA,0.0,0.0,0,2021-10-10,0
TAS,0.0,0.0,1,2021-10-10,0
NSW,275.0,81.0,70,2021-10-10,356
ACT,0.0,0.0,0,2021-10-10,0
Australia,337.0,1417.0,744,2021-10-10,1754
NT,0.0,0.0,0,2021-10-10,0
Australia,386.0,1430.0,747,2021-10-11,1816
NSW,287.0,81.0,72,2021-10-11,368
