Jurisdiction,Active cases,Locally acquired last 24 hours,Overseas acquired last 24 hours,Under investigation last 24 hours,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
WA,16,0,1,0,0,14,0,2021-10-06
NSW,8571,608,0,0,5333,7,0,2021-10-06
VIC,14368,523,0,1240,3049,0,6277,2021-10-06
NT,6,0,0,0,0,2,0,2021-10-06
QLD,26,2,0,0,12,7,1,2021-10-06
SA,4,1,0,0,5,1,0,2021-10-06
TAS,1,0,0,0,1,0,0,2021-10-06
ACT,386,31,0,2,171,0,85,2021-10-06
Australia,23378,1165,1,1242,8571,31,6363,2021-10-06
SA,3,0,0,0,5,1,0,2021-10-07
QLD,26,0,6,0,6,15,0,2021-10-07
NT,7,0,1,0,0,2,0,2021-10-07
NSW,7868,587,0,0,4705,3,0,2021-10-07
ACT,407,17,0,24,180,0,92,2021-10-07
Australia,23401,1150,7,1116,8155,35,6827,2021-10-07
WA,15,0,0,0,0,14,0,2021-10-07
TAS,1,0,0,0,1,0,0,2021-10-07
VIC,15074,546,0,1092,3258,0,6735,2021-10-07
NT,5,0,0,0,0,1,0,2021-10-08
ACT,430,21,0,19,161,0,99,2021-10-08
NSW,7604,646,2,0,4495,4,0,2021-10-08
QLD,31,0,0,0,5,13,0,2021-10-08
TAS,1,0,0,0,1,0,0,2021-10-08
VIC,16823,31,0,1807,3103,0,7762,2021-10-08
WA,15,0,0,0,0,14,0,2021-10-08
Australia,24913,698,3,1826,7769,34,7861,2021-10-08
SA,4,0,1,0,4,2,0,2021-10-08
NT,6,0,1,0,0,2,0,2021-10-09
SA,4,1,0,0,4,1,0,2021-10-09
ACT,430,12,0,13,143,0,90,2021-10-09
NSW,7296,580,1,0,4272,4,0,2021-10-09
QLD,31,0,3,0,3,14,0,2021-10-09
Australia,24982,1149,5,1422,7439,35,8217,2021-10-09
WA,15,0,0,0,0,14,0,2021-10-09
TAS,1,0,0,0,1,0,0,2021-10-09
VIC,17199,556,0,1409,3016,0,8127,2021-10-09
TAS,1,0,0,0,0,0,0,2021-10-10
SA,5,1,0,0,4,1,0,2021-10-10
QLD,34,0,2,1,3,15,1,2021-10-10
NT,6,0,0,0,0,2,0,2021-10-10
ACT,433,16,0,14,134,0,91,2021-10-10
Australia,25774,518,4,1881,6834,34,9289,2021-10-10
VIC,18342,23,1,1866,2611,1,9197,2021-10-10
NSW,6938,478,1,0,4082,4,0,2021-10-10
WA,15,0,0,0,0,11,0,2021-10-10
Australia,26276,527,5,1615,6260,28,9996,2021-10-11
QLD,34,0,1,0,2,15,1,2021-10-11
SA,8,2,1,0,5,2,0,2021-10-11
NSW,6747,496,2,0,3950,6,0,2021-10-11
TAS,1,0,0,0,0,0,0,2021-10-11
VIC,19012,4,0,1608,2159,1,9910,2021-10-11
WA,12,0,0,0,0,1,0,2021-10-11
NT,7,0,1,0,0,3,0,2021-10-11
ACT,455,25,0,7,144,0,85,2021-10-11
VIC,19627,326,0,1140,1969,1,9772,2021-10-12
Australia,26448,710,5,1146,5813,32,9862,2021-10-12
ACT,450,22,0,6,135,0,89,2021-10-12
NSW,6308,360,0,0,3703,6,0,2021-10-12
NT,8,1,0,0,1,3,0,2021-10-12
QLD,34,0,4,0,0,19,1,2021-10-12
TAS,1,0,0,0,0,0,0,2021-10-12
WA,13,0,1,0,0,1,0,2021-10-12
SA,7,1,0,0,5,2,0,2021-10-12
NT,8,1,0,0,1,3,0,2021-10-13
ACT,450,22,0,6,135,0,89,2021-10-13
NSW,6308,360,0,0,3703,6,0,2021-10-13
QLD,34,0,4,0,0,19,1,2021-10-13
SA,7,1,0,0,5,2,0,2021-10-13
TAS,1,0,0,0,0,0,0,2021-10-13
VIC,19627,326,0,1140,1969,1,9772,2021-10-13
