Jurisdiction,Overseas,Locally acquired - contact of confirmed case,Locally acquired - unknown contact,Locally acquired - interstate travel,Under investigation,Total cases,Total deaths,Date
NT,196,11,0,5,0,212,0,2021-10-06
Australia,8427,52839,43967,224,10345,115802,1357,2021-10-06
ACT,95,908,126,30,3,1162,8,2021-10-06
NSW,3659,22215,39895,107,0,65876,439,2021-10-06
QLD,1490,479,47,32,0,2048,7,2021-10-06
SA,684,178,9,36,0,907,4,2021-10-06
VIC,1224,28814,3871,0,10342,44251,877,2021-10-06
WA,994,93,14,9,0,1110,9,2021-10-06
TAS,85,141,5,5,0,236,13,2021-10-06
Australia,8435,55200,44390,225,11793,120043,1389,2021-10-07
NSW,3658,22952,40307,107,0,67024,457,2021-10-07
NT,197,11,0,5,0,213,0,2021-10-07
QLD,1498,479,47,32,0,2056,7,2021-10-07
SA,684,178,9,36,0,907,4,2021-10-07
TAS,85,141,5,5,0,236,13,2021-10-07
VIC,1224,30404,3871,0,11767,47266,890,2021-10-07
WA,994,93,14,9,0,1110,9,2021-10-07
ACT,95,942,137,31,26,1231,9,2021-10-07
WA,994,93,14,9,0,1110,9,2021-10-08
NT,197,11,0,5,0,213,0,2021-10-08
QLD,1498,479,47,32,0,2056,7,2021-10-08
SA,685,178,9,36,0,908,4,2021-10-08
TAS,85,141,5,5,0,236,13,2021-10-08
VIC,1224,30506,3873,0,13486,49089,895,2021-10-08
Australia,8438,55584,44799,225,13506,122552,1405,2021-10-08
ACT,95,980,145,31,20,1271,9,2021-10-08
NSW,3660,23196,40706,107,0,67669,468,2021-10-08
NSW,3661,23479,40999,107,0,68246,479,2021-10-09
SA,685,178,9,37,0,909,4,2021-10-09
TAS,85,141,5,5,0,236,13,2021-10-09
VIC,1224,31973,3871,0,13944,51012,900,2021-10-09
WA,994,93,14,9,0,1110,9,2021-10-09
ACT,95,1004,147,31,19,1296,9,2021-10-09
Australia,8443,57358,45092,226,13963,125082,1421,2021-10-09
NT,198,11,0,5,0,214,0,2021-10-09
QLD,1501,479,47,32,0,2059,7,2021-10-09
WA,994,93,14,9,0,1110,9,2021-10-10
NT,198,11,5,0,0,214,0,2021-10-10
QLD,1503,479,47,32,1,2062,7,2021-10-10
SA,685,178,9,38,0,910,4,2021-10-10
TAS,85,141,5,5,0,236,13,2021-10-10
VIC,1225,32023,3871,0,15765,52884,905,2021-10-10
NSW,3662,23749,41192,109,0,68712,485,2021-10-10
ACT,95,1024,150,32,25,1326,9,2021-10-10
Australia,8447,57698,45293,225,15791,127454,1432,2021-10-10
Australia,8453,58998,45356,233,16530,129570,1448,2021-10-11
VIC,1225,32865,3872,0,16508,54470,913,2021-10-11
TAS,85,141,5,5,0,236,13,2021-10-11
SA,686,178,9,40,0,913,4,2021-10-11
WA,994,93,14,9,0,1110,9,2021-10-11
NT,199,11,0,5,0,215,0,2021-10-11
NSW,3664,24179,41253,109,0,69205,493,2021-10-11
ACT,95,1052,156,33,22,1358,9,2021-10-11
QLD,1505,479,47,32,0,2063,7,2021-10-11
Australia,8457,60794,45426,235,16468,131380,1461,2021-10-12
WA,995,93,14,9,0,1111,9,2021-10-12
VIC,1225,34306,3905,0,16462,55898,921,2021-10-12
TAS,85,141,5,5,0,236,13,2021-10-12
SA,686,178,9,41,0,914,4,2021-10-12
ACT,95,1076,176,33,6,1386,9,2021-10-12
NSW,3663,24510,41270,109,0,69552,498,2021-10-12
QLD,1509,479,47,32,0,2067,7,2021-10-12
NT,199,11,0,6,0,216,0,2021-10-12
QLD,1509,479,47,32,0,2067,7,2021-10-13
SA,686,178,9,41,0,914,4,2021-10-13
TAS,85,141,5,5,0,236,13,2021-10-13
Australia,8457,60794,45426,235,16468,131380,1461,2021-10-13
NT,199,11,0,6,0,216,0,2021-10-13
ACT,95,1076,176,33,6,1386,9,2021-10-13
WA,995,93,14,9,0,1111,9,2021-10-13
VIC,1225,34306,3905,0,16462,55898,921,2021-10-13
NSW,3663,24510,41270,109,0,69552,498,2021-10-13
NT,204,11,0,7,0,222,0,2021-10-14
WA,995,93,14,9,0,1111,9,2021-10-14
QLD,1509,479,47,32,0,2067,7,2021-10-14
TAS,85,141,5,6,0,237,13,2021-10-14
SA,686,179,9,40,0,914,4,2021-10-14
Australia,8467,63205,45608,236,18619,136135,1496,2021-10-14
ACT,95,1151,194,33,10,1483,10,2021-10-14
NSW,3666,25208,41408,109,0,70391,508,2021-10-14
VIC,1227,35943,3931,0,18609,59710,945,2021-10-14
WA,995,93,14,9,0,1111,9,2021-10-15
VIC,1227,35976,3943,0,20723,61869,951,2021-10-15
SA,686,179,9,40,0,914,4,2021-10-15
QLD,1510,479,47,33,0,2069,7,2021-10-15
Australia,8468,63454,45825,240,20734,138721,1506,2021-10-15
ACT,95,1178,199,35,11,1518,10,2021-10-15
TAS,85,141,5,6,0,237,13,2021-10-15
NSW,3666,25397,41608,110,0,70781,512,2021-10-15
NT,204,11,0,7,0,222,0,2021-10-15
ACT,95,1193,199,35,16,1538,11,2021-10-16
WA,996,93,14,9,0,1112,9,2021-10-16
NSW,3667,25569,41753,110,0,71099,514,2021-10-16
NT,204,11,0,10,0,225,0,2021-10-16
QLD,1512,479,47,33,0,2071,7,2021-10-16
SA,687,179,9,40,0,915,4,2021-10-16
TAS,85,141,5,6,0,237,13,2021-10-16
VIC,1227,38267,3948,0,20394,63836,957,2021-10-16
Australia,8473,65932,45975,243,20410,141033,1515,2021-10-16
VIC,1227,39092,3953,0,21333,65605,963,2021-10-17
TAS,85,141,5,6,0,237,13,2021-10-17
SA,687,179,9,40,0,915,4,2021-10-17
QLD,1512,479,47,33,0,2071,7,2021-10-17
NSW,3667,25747,41875,110,0,71399,524,2021-10-17
ACT,95,1222,211,35,8,1571,11,2021-10-17
NT,204,11,0,10,0,225,0,2021-10-17
WA,996,93,14,9,0,1112,9,2021-10-17
Australia,8473,66964,46114,243,21341,143135,1531,2021-10-17
VIC,1227,39995,3958,0,22277,67457,970,2021-10-18
WA,996,93,14,9,0,1112,9,2021-10-18
Australia,8474,68083,46181,243,22282,145263,1543,2021-10-18
NSW,3668,25951,41929,110,0,71658,529,2021-10-18
ACT,95,1234,219,35,5,1588,11,2021-10-18
QLD,1512,479,47,33,0,2071,7,2021-10-18
SA,687,179,9,40,0,915,4,2021-10-18
TAS,85,141,5,6,0,237,13,2021-10-18
NT,204,11,0,10,0,225,0,2021-10-18
Australia,8475,69391,46280,243,22886,147275,1558,2021-10-19
NSW,3668,26147,41998,110,0,71923,533,2021-10-19
NT,204,11,0,10,0,225,0,2021-10-19
QLD,1512,479,47,33,0,2071,7,2021-10-19
SA,688,179,9,40,0,916,4,2021-10-19
TAS,85,141,5,6,0,237,13,2021-10-19
VIC,1227,41083,3983,0,22886,69179,981,2021-10-19
WA,996,93,14,9,0,1112,9,2021-10-19
ACT,95,1258,224,35,0,1612,11,2021-10-19
Australia,8477,70416,46378,243,23884,149398,1577,2021-10-20
TAS,85,141,5,6,0,237,13,2021-10-20
SA,688,179,9,40,0,916,4,2021-10-20
QLD,1513,479,47,33,0,2072,7,2021-10-20
NT,204,11,0,10,0,225,0,2021-10-20
NSW,3668,26356,42068,110,0,72202,540,2021-10-20
ACT,95,1274,232,35,0,1636,11,2021-10-20
VIC,1228,41883,4003,0,23884,70998,993,2021-10-20
WA,996,93,14,9,0,1112,9,2021-10-20
WA,996,93,14,9,0,1112,9,2021-10-21
VIC,1231,42988,4007,0,24925,73151,1005,2021-10-21
TAS,85,141,5,6,0,237,13,2021-10-21
SA,689,179,9,40,0,917,4,2021-10-21
QLD,1517,479,48,33,0,2077,7,2021-10-21
NT,204,11,0,10,0,225,0,2021-10-21
NSW,3670,26605,42175,110,0,72560,541,2021-10-21
Australia,8487,71788,46499,244,24925,151943,1590,2021-10-21
ACT,95,1292,241,36,0,1664,11,2021-10-21
ACT,95,1292,241,36,0,1664,11,2021-10-22
NSW,3670,26605,42175,110,0,72560,541,2021-10-22
NT,204,11,0,10,0,225,0,2021-10-22
QLD,1517,479,48,33,0,2077,7,2021-10-22
SA,689,179,9,40,0,917,4,2021-10-22
TAS,85,141,5,6,0,237,13,2021-10-22
VIC,1231,42988,4007,0,24925,73151,1005,2021-10-22
WA,996,93,14,9,0,1112,9,2021-10-22
Australia,8487,71788,46499,244,24925,151943,1590,2021-10-22
Australia,8498,72416,46706,245,28507,156372,1622,2021-10-23
ACT,95,1321,249,36,0,1701,11,2021-10-23
NSW,3672,27070,42360,110,0,73212,548,2021-10-23
NT,204,11,0,10,0,225,0,2021-10-23
VIC,1235,43122,4022,0,28507,76886,1030,2021-10-23
SA,689,179,9,40,0,917,4,2021-10-23
TAS,85,141,5,6,0,237,13,2021-10-23
WA,996,93,14,9,0,1112,9,2021-10-23
QLD,1522,479,47,34,0,2082,7,2021-10-23
VIC,1234,45598,4022,0,27909,78763,1041,2021-10-24
WA,996,93,14,9,0,1112,9,2021-10-24
TAS,85,141,5,6,0,237,13,2021-10-24
ACT,95,1330,247,38,0,1710,11,2021-10-24
QLD,1522,479,47,34,0,2082,7,2021-10-24
NT,204,11,0,10,0,225,0,2021-10-24
NSW,3671,27502,42217,110,0,73500,552,2021-10-24
Australia,8497,75333,46561,247,27909,158547,1637,2021-10-24
SA,690,179,9,40,0,918,4,2021-10-24
WA,996,93,14,9,0,1112,9,2021-10-25
VIC,1234,45655,4022,0,29241,80152,1048,2021-10-25
TAS,85,141,5,6,0,237,13,2021-10-25
SA,690,179,9,40,0,918,4,2021-10-25
QLD,1522,479,47,34,0,2082,7,2021-10-25
NT,204,11,0,10,0,225,0,2021-10-25
NSW,3671,27973,42031,110,0,73785,556,2021-10-25
Australia,8497,75869,46377,246,29241,160230,1648,2021-10-25
ACT,95,1338,249,37,0,1719,11,2021-10-25
Australia,8501,77551,45964,247,29753,162016,1653,2021-10-26
NT,204,11,0,10,0,225,0,2021-10-26
WA,996,93,14,9,0,1112,9,2021-10-26
VIC,1234,46628,4036,0,29753,81651,1052,2021-10-26
TAS,85,141,5,6,0,237,13,2021-10-26
SA,690,179,9,40,0,918,4,2021-10-26
QLD,1523,480,47,35,0,2085,7,2021-10-26
ACT,96,1348,250,37,0,1731,11,2021-10-26
NSW,3673,28671,41603,110,0,74057,557,2021-10-26
NSW,3674,29909,40659,110,0,74352,560,2021-10-27
NT,204,11,0,10,0,225,0,2021-10-27
QLD,1524,480,47,35,0,2086,7,2021-10-27
TAS,85,141,5,6,0,237,13,2021-10-27
VIC,1233,48120,4045,0,29700,83098,1065,2021-10-27
